timestamp,open,high,low,close,volume
2025-12-13 16:00:00,0.1013,0.1013,0.1013,0.1013,0.0
2025-12-13 17:00:00,0.1013,0.1013,0.1013,0.1013,0.0
2025-12-13 18:00:00,0.1013,0.1013,0.1013,0.1013,0.0
2025-12-13 19:00:00,0.1013,0.1013,0.1013,0.1013,0.0
2025-12-13 20:00:00,0.1004,0.1004,0.1004,0.1004,47.8
2025-12-13 21:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-13 22:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-13 23:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-14 00:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-14 01:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-14 02:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-14 03:00:00,0.1004,0.1004,0.1004,0.1004,0.0
2025-12-14 04:00:00,0.0997,0.0997,0.0997,0.0997,47.8
2025-12-14 05:00:00,0.0997,0.0997,0.0997,0.0997,0.0
2025-12-14 06:00:00,0.0997,0.0997,0.0997,0.0997,0.0
2025-12-14 07:00:00,0.0997,0.0997,0.0997,0.0997,0.0
2025-12-14 08:00:00,0.0997,0.0997,0.0997,0.0997,0.0
2025-12-14 09:00:00,0.0995,0.0995,0.0995,0.0995,593.94
2025-12-14 10:00:00,0.099,0.099,0.099,0.099,47.8
2025-12-14 11:00:00,0.0983,0.0983,0.0976,0.0976,95.6
2025-12-14 12:00:00,0.0983,0.0983,0.0983,0.0983,47.7
2025-12-14 13:00:00,0.0983,0.0983,0.0983,0.0983,0.0
2025-12-14 14:00:00,0.0976,0.0976,0.0969,0.0969,107.93
2025-12-14 15:00:00,0.0969,0.0969,0.0969,0.0969,0.0
2025-12-14 16:00:00,0.0968,0.0968,0.0968,0.0968,236.58
2025-12-14 17:00:00,0.0962,0.0962,0.0962,0.0962,512.97
2025-12-14 18:00:00,0.0959,0.0959,0.0959,0.0959,246.32
2025-12-14 19:00:00,0.0959,0.0959,0.0959,0.0959,0.0
2025-12-14 20:00:00,0.0955,0.0962,0.0955,0.0955,143.3
2025-12-14 21:00:00,0.0948,0.0948,0.0948,0.0948,60.13
2025-12-14 22:00:00,0.0948,0.0948,0.0948,0.0948,0.0
2025-12-14 23:00:00,0.0941,0.0941,0.0941,0.0941,47.8
2025-12-15 00:00:00,0.0948,0.0948,0.0948,0.0948,47.7
2025-12-15 01:00:00,0.0955,0.0955,0.0955,0.0955,47.7
2025-12-15 02:00:00,0.0962,0.0962,0.0962,0.0962,47.7
2025-12-15 03:00:00,0.0955,0.0955,0.0955,0.0955,47.8
2025-12-15 04:00:00,0.0955,0.0955,0.0955,0.0955,0.0
2025-12-15 05:00:00,0.0962,0.0962,0.0961,0.0961,1088.28
2025-12-15 06:00:00,0.0961,0.0961,0.0961,0.0961,0.0
2025-12-15 07:00:00,0.0955,0.0955,0.0941,0.0941,143.4
2025-12-15 08:00:00,0.0934,0.0934,0.0924,0.0924,107.93
2025-12-15 09:00:00,0.0924,0.0924,0.0924,0.0924,0.0
2025-12-15 10:00:00,0.092,0.0927,0.092,0.0927,95.5
2025-12-15 11:00:00,0.0934,0.0934,0.0934,0.0934,47.7
2025-12-15 12:00:00,0.0941,0.0941,0.0941,0.0941,47.7
2025-12-15 13:00:00,0.0941,0.0941,0.0941,0.0941,0.0
2025-12-15 14:00:00,0.0934,0.0934,0.092,0.092,143.4
2025-12-15 15:00:00,0.0913,0.0913,0.09,0.09,265.88
2025-12-15 16:00:00,0.0884,0.0886,0.0881,0.0886,6784.59
2025-12-15 17:00:00,0.0886,0.0886,0.0886,0.0886,0.0
2025-12-15 18:00:00,0.0887,0.0887,0.0887,0.0887,391.96
2025-12-15 19:00:00,0.0899,0.0913,0.0899,0.0913,117.24
2025-12-15 20:00:00,0.0906,0.0906,0.0899,0.0899,106.52
2025-12-15 21:00:00,0.0906,0.0906,0.0906,0.0906,47.7
2025-12-15 22:00:00,0.0913,0.0913,0.0913,0.0913,58.59
2025-12-15 23:00:00,0.0914,0.0914,0.0914,0.0914,32.82
2025-12-16 00:00:00,0.0914,0.0914,0.0914,0.0914,0.0
2025-12-16 01:00:00,0.0914,0.0914,0.0914,0.0914,0.0
